split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown
split_015_2018-09-28_2020-12-29,markowitz,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,1.0,0.001,0.08616400802627688,0.08810439870202083,0.981509145862427,1.566418110395528,0.020878016589561676,-0.042304675967435035
split_015_2018-09-28_2020-12-29,black_litterman,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,1.1797330329303293,0.0011797330329303293,0.10381360552247587,0.08491053683624201,1.2051360965692053,1.9720031107820784,0.025000165963303456,-0.041317199703443386
split_016_2018-12-31_2021-03-31,markowitz,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,1.0737599999999998,0.0010737599999999998,-0.19697401587065055,0.10641025690514509,-2.0082210999579755,-2.577530273838984,-0.053365344505961976,-0.06909775737422486
split_016_2018-12-31_2021-03-31,black_litterman,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,1.1634929742702573,0.0011634929742702573,-0.14694720990344778,0.10919227452138291,-1.4012520815480067,-1.8100911669787993,-0.038954439300786126,-0.059678026491237324
split_017_2019-04-02_2021-06-30,markowitz,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,1.2151399999999999,0.00121514,0.32949302448556184,0.08206625776746503,3.5126480233009523,6.037729930684339,0.0737953421185007,-0.03273239199310929
split_017_2019-04-02_2021-06-30,black_litterman,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,1.2647,0.0012647,0.28321611152615,0.08739320500378475,2.897846035839242,4.602484845782278,0.06432668487183135,-0.03653489729382042
split_018_2019-07-02_2021-09-29,markowitz,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,1.174789438905611,0.0011747894389056112,0.044062456080847134,0.07368387280271797,0.6216013793401338,0.8336946471755065,0.010838139561961668,-0.038152333233614666
split_018_2019-07-02_2021-09-29,black_litterman,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,1.317487416792103,0.001317487416792103,0.0029965949783619106,0.07501791150941323,0.0769159230854848,0.09946378381769759,0.0007483083773438537,-0.0368042506131091
split_019_2019-10-01_2021-12-29,markowitz,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,1.08194,0.00108194,0.3023733952727352,0.08371309201165548,3.1987208970558387,5.121660675983566,0.06827700207639986,-0.01771342693335909
split_019_2019-10-01_2021-12-29,black_litterman,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,1.1942245196451964,0.0011942245196451965,0.24971824221908112,0.08947078282402107,2.536628217127178,3.9882045224404856,0.05731167388722258,-0.0306434350769913
split_020_2019-12-31_2022-03-30,markowitz,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,1.2464199999999999,0.0012464199999999998,-0.18878152318914798,0.13877929877640502,-1.438555244394125,-1.9040879707372331,-0.050960128773749114,-0.1113419410477714
split_020_2019-12-31_2022-03-30,black_litterman,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,1.61008,0.00161008,-0.14240545963598084,0.16144109902219492,-0.87186847725425,-1.2249323208041756,-0.037677806312218176,-0.11133752002423825
split_021_2020-04-01_2022-06-30,markowitz,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,1.2960544852551474,0.0012960544852551475,-0.5245796194613319,0.26435764798961,-2.677818179413386,-3.279624347187657,-0.1696342093665496,-0.18926252918735642
split_021_2020-04-01_2022-06-30,black_litterman,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,1.2109,0.0012109000000000002,-0.5261275171605044,0.2733629530924548,-2.5926762097301017,-3.172599394911986,-0.17031092288258598,-0.19110587864892337
split_022_2020-07-01_2022-09-29,markowitz,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,1.0,0.001,-0.10360435596327344,0.22438437350914922,-0.3766547154334829,-0.5221607729311547,-0.026972903829938888,-0.16098583156299706
split_022_2020-07-01_2022-09-29,black_litterman,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,1.5710199999999999,0.0015710199999999998,-0.13101861778559576,0.22512447293371,-0.5126377243624775,-0.7101234392397718,-0.03449924446487984,-0.16485337408748824
split_023_2020-09-30_2022-12-29,markowitz,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,1.41822,0.00141822,0.30714757250786096,0.2574971663952893,1.1663756967669345,1.9852989171110726,0.06925466865218177,-0.06585988869958548
split_023_2020-09-30_2022-12-29,black_litterman,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,1.47932,0.00147932,0.2869245721715681,0.26456594375282777,1.0830247641627377,1.830063177128468,0.06509482190838711,-0.07543847342487053
split_024_2020-12-30_2023-03-31,markowitz,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,1.0,0.001,0.32937366543403734,0.1525169979251705,1.9427744674734722,3.013150399111359,0.07377124054248663,-0.06793657316173984
split_024_2020-12-30_2023-03-31,black_litterman,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,1.0,0.001,0.32937366543403734,0.1525169979251705,1.9427744674734722,3.013150399111359,0.07377124054248663,-0.06793657316173984
split_025_2021-04-01_2023-07-03,markowitz,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,2.0,0.002,0.2073980681262806,0.10186749515052809,1.9008379081470859,3.236826482011329,0.04824456459570703,-0.024315720310482458
split_025_2021-04-01_2023-07-03,black_litterman,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,2.0,0.002,0.2073980681262806,0.10186749515052809,1.9008379081470859,3.236826482011329,0.04824456459570703,-0.024315720310482458
split_026_2021-07-01_2023-10-02,markowitz,2021-07-01,2023-07-03,2023-07-05,2023-10-02,3,2.0,0.002,-0.23429141602516013,0.1106627186589043,-2.3564871605370947,-2.9481693304135796,-0.06456012434371516,-0.0911314883281793
split_026_2021-07-01_2023-10-02,black_litterman,2021-07-01,2023-07-03,2023-07-05,2023-10-02,3,2.4378,0.0024378000000000004,-0.2590155102810344,0.11093223291019748,-2.6460307564682743,-3.2543457270063856,-0.07220446242904355,-0.09855868740225582
split_027_2021-09-30_2024-01-02,markowitz,2021-09-30,2023-10-02,2023-10-03,2024-01-02,3,2.0,0.002,0.451577678037413,0.13659700238495143,2.797152141094376,4.5520983085383735,0.09764036684597666,-0.05882720938884989
split_027_2021-09-30_2024-01-02,black_litterman,2021-09-30,2023-10-02,2023-10-03,2024-01-02,3,2.0,0.002,0.451577678037413,0.13659700238495143,2.797152141094376,4.5520983085383735,0.09764036684597666,-0.05882720938884989
split_028_2021-12-30_2024-04-03,markowitz,2021-12-30,2024-01-02,2024-01-03,2024-04-03,3,1.0,0.001,0.3942598239989592,0.09821793234803568,3.4344363043698625,5.963159286659922,0.08664060205732005,-0.015981602187104094
split_028_2021-12-30_2024-04-03,black_litterman,2021-12-30,2024-01-02,2024-01-03,2024-04-03,3,1.0,0.001,0.3942598239989592,0.09821793234803568,3.4344363043698625,5.963159286659922,0.08664060205732005,-0.015981602187104094
split_029_2022-03-31_2024-07-03,markowitz,2022-03-31,2024-04-03,2024-04-04,2024-07-03,3,1.0,0.001,0.19631826577588862,0.10243953561923767,1.8008555240991513,2.714740692968692,0.045831415662918706,-0.04416272565002566
split_029_2022-03-31_2024-07-03,black_litterman,2022-03-31,2024-04-03,2024-04-04,2024-07-03,3,1.0,0.001,0.19631826577588862,0.10243953561923767,1.8008555240991513,2.714740692968692,0.045831415662918706,-0.04416272565002566
split_030_2022-07-01_2024-10-02,markowitz,2022-07-01,2024-07-03,2024-07-05,2024-10-02,3,1.0,0.001,0.15438401332586027,0.15329522917663035,1.0123975158654426,1.4422187999209586,0.036543603449829876,-0.07958679241860778
split_030_2022-07-01_2024-10-02,black_litterman,2022-07-01,2024-07-03,2024-07-05,2024-10-02,3,1.05724,0.0010572399999999999,0.15164830874056556,0.15356342888505076,0.9954316587249784,1.418921125247853,0.03592894650236578,-0.07958679241860778
split_031_2022-09-30_2025-01-02,markowitz,2022-09-30,2024-10-02,2024-10-03,2025-01-02,3,1.11558,0.0011155800000000001,-0.06328898385926263,0.10444784029138596,-0.5742140570696459,-0.7183244775407567,-0.016212258014276504,-0.04124109635384232
split_031_2022-09-30_2025-01-02,black_litterman,2022-09-30,2024-10-02,2024-10-03,2025-01-02,3,1.2346,0.0012346,-0.07882483331061707,0.108455820551757,-0.7032067768575947,-0.8681803046213264,-0.0203170374323961,-0.04315539713391692
split_032_2022-12-30_2025-04-04,markowitz,2022-12-30,2025-01-02,2025-01-03,2025-04-04,3,1.09886,0.00109886,-0.30161782948636684,0.19942832639375976,-1.6987261659199209,-1.9276099091574206,-0.08583774459419391,-0.13955319402097532
split_032_2022-12-30_2025-04-04,black_litterman,2022-12-30,2025-01-02,2025-01-03,2025-04-04,3,1.19252,0.00119252,-0.3329303506534963,0.2015983729875768,-1.9055171297399724,-2.157816418911796,-0.09626147634847082,-0.14656877235101828
split_033_2023-04-03_2025-07-08,markowitz,2023-04-03,2025-04-04,2025-04-07,2025-07-08,3,1.0,0.001,1.2312131392436458,0.2399805133496685,3.46371738469475,8.23133343425006,0.22218025926682228,-0.03418045043945317
split_033_2023-04-03_2025-07-08,black_litterman,2023-04-03,2025-04-04,2025-04-07,2025-07-08,3,1.0,0.001,1.2312131392436458,0.2399805133496685,3.46371738469475,8.23133343425006,0.22218025926682228,-0.03418045043945317
split_034_2023-07-05_2025-10-06,markowitz,2023-07-05,2025-07-08,2025-07-09,2025-10-06,3,1.0,0.001,0.349834602260235,0.08887834274932284,3.4208360017908386,6.140373269609598,0.07787931876783305,-0.030403771827174686
split_034_2023-07-05_2025-10-06,black_litterman,2023-07-05,2025-07-08,2025-07-09,2025-10-06,3,1.0581,0.0010581,0.3491818125932735,0.08905806838163594,3.408670544737193,6.123152302069384,0.0777489775909832,-0.030403771827174686
